"If you want to 100% check your qb vs this list, the only way I know is to copy/paste your qb from /qb list # command BELOW the last row of this column. Then do a Find and Replace under Edit, Find the following without quotes """" and replace with nothing. After you do this any qb you already have will be highlighted, you can then filter out these higlights using filter by color. (if you need help message Angrboa)",,,,,
Asherons Call Custom Quest QB List,QBs Tracked: 3959,,,,
BurunLiberator_Start,Burun_Liberator,,,Player has started Burun Liberator Quest,FALSE
BurunLiberator_Wait,Burun_Liberator,,,Player wait timer for Burun Liberator Quest,FALSE
caligaegis,Sepulcher_of_Nightmares,,,Caliginous Aegis,FALSE
CaliginousBethelComplete_0511,The_Caliginous_Bethel,,,Handed Refulgent Bracelet to Aurten Rhell,FALSE
CampEntemarreCompleted,Head_of_Baron_Entemarre,,,Head of Baron Entemarre quest completed,FALSE
CampEntemarreStarted,Head_of_Baron_Entemarre,,,Head of Baron Entemarre quest started,FALSE
CanEnterLordKastellarsLab,Bloodstone_Investigation,,,Flagged to enter Lord Kastellar's Lab,FALSE
CanEnterSclavusTempleDoor,Search_for_Gareth_Dain,,,Flagged to use Sclavus Temple Lord Test,FALSE
CanPickupCorruptedManaShard,Celestial_Hand_Initiation,,,Player can pick up Corrupted Mana Shard,FALSE
CanPickupLargeCorruptedManaShard,Guardian_of_the_Deru_Trees_of_Marae_Lassel,,,Player can pick up Large Corrupted Mana Shard for Deru Quest.,FALSE
CanPickupSilveranToken,Tracking_Grael,,,Player can pick up a Silveran Token,FALSE
CaoCaoRight,Oswald's_Dirk_Quest,Give Blue Ball to Cao Cao,,Correct answer on Cao Cao,FALSE
Captive100GWI1205,Glenden_Wood_Invasion_(Mid),,,Started Glenden Wood Invasion Mid quest,FALSE
Captive130GWI1205,Glenden_Wood_Invasion_(High),,,Started Glenden Wood Invasion High quest,FALSE
Captive80GWI1205,Glenden_Wood_Invasion_(Low),,,Started Glenden Wood Invasion Low quest,FALSE
CaptiveTalk100,Glenden_Wood_Invasion_(Mid),,,Started Glenden Wood Invasion Mid quest,FALSE
CaptiveTalk180,Glenden_Wood_Invasion_(High),,,Started Glenden Wood Invasion High quest,FALSE
CaptiveTalk80,Glenden_Wood_Invasion_(Low),,,Started Glenden Wood Invasion Low quest,FALSE
CarenziRace,Carenzi_Races,,,Started a Race,FALSE
CarenziRaceBetterR3,Carenzi_Races,Bet on Racer 3,,Bet on Racer 3,FALSE
cavepenguinegg,Cave_Penguin_Eggs,,,Picked up Cave Penguin Egg,FALSE
ChampionKillQuest2,Elari_Wood_Bow,,,Kill Hea Temenua,FALSE
ChampionQuest01,Elari_Wood_Bow,,,Pick up KeyKarenua - opens the Hea Raiders' chest,FALSE
ChampionQuest06,Elari_Wood_Bow,,,Pick up ExquisiteElariBowString,FALSE
ChampionQuest07,Elari_Wood_Bow,,,Pick up ExquisiteElariBowHaft,FALSE
ChangingGearsStarted_0813,Rynthid_Foundry_Quest,,,quest timer,FALSE
ChasingOswaldDungeonFlag,Chasing_Oswald,,,Chasing Oswald dungeon flagged,FALSE
ChasingOswaldRuschkIceHold,Chasing_Oswald,,,Chasing Oswald Ruschk Ice Hold flagged,FALSE
ChasingOswaldViamontPrison,Chasing_Oswald,,,Chasing Oswald Viamont Prison flagged,FALSE
CHDSCompletedOnce0608,Harlune's_Diplomacy,,,Player stamp for first completion of Harlunes Diplomacy.,FALSE
CHDSFalatacotCharm0608,Harlune's_Diplomacy,,,Player wait timer for Harlunes Diplomacy.,FALSE
CHDSStarted0608,Harlune's_Diplomacy,,,Player has started Harlunes Diplomacy.,FALSE
ChestBlackMarrowCaulcano0205,Black_Marrow_Reliquary,,,You have opened this chest already.,FALSE
chestblackmarrowgatewaydemesne0205,Gateway_to_the_Deep,,,You have opened this chest already.,FALSE
chestblackmarrowgatewaylurza0205,Gateway_to_the_Deep,,,You have opened this chest already.,FALSE
chestblackmarrowgatewayshemza0205,Gateway_to_the_Deep,,,You have opened this chest already.,FALSE
chestblackmarrownightmaregate0205,Black_Marrow_Reliquary,,,You have opened this chest already.,FALSE
chestchorizite48773,Count_Phainor's_Amulet,,,Used Chorizite Chest in Count Phainors Tomb,FALSE
chestchorizite51687,Fear_Factory_Quest,,,Used Chorizite Chest in Fear Factory,FALSE
ChestQuestDrudgeFight,Drudge_Fight,,,Opened a ChestQuest,FALSE
ChestQuestLockedExtreme,,,,Opened a ChestQuestLockedExtreme.,FALSE
ChestQuestLockedMid,,,,Opened a ChestQuestLockedMid.,FALSE
ChoriziteA,,,,Chorizite Refined A,FALSE
ChoriziteC,,,,Chorizite Refined C,FALSE
ChunkyOre_TurnIns,Chunky_Ore_Collection,,,Turn in amount for Chunky Ore Collection,FALSE
ChunkyOre_Wait,Chunky_Ore_Collection,,,Wait timer for Chunky Ore Collection,FALSE
clawofthehopeslayerfirstrun,Ithaenc_Quiddity_Seed_Quest,,,Stamped on first turn in of Claw of the Hopeslayer,FALSE
clawofthehopeslayerpickuptimer,Ithaenc_Quiddity_Seed_Quest,,,Picked up Claw of the Hopeslayer,FALSE
ClimbedViridianDeru,Climbing_the_Viridian_Deru_Tree,,,quest timer,FALSE
ClueCardPickedUp,Clutch_of_Kings_(Kiree),,,You have picked up the clue card.,FALSE
ClutchKingsComplete,Clutch_of_Kings,Kill all kings,,You've killed all six Burun Kings.,FALSE
CoilBanderling,Bronze_Statues_Quest,,,Player has picked up a banderling coil and cannot pick up another for 1 day.,FALSE
CoilBanderlingGiven,Bronze_Statues_Quest,,,Player has given this coil and cannot give another for one day.,FALSE
CoilBenTen,Bronze_Statues_Quest,,,Player has picked up a Ben Ten coil and cannot pick up another for 1 day.,FALSE
CoilBenTenGiven,Bronze_Statues_Quest,,,Player has given this coil and cannot give another for one day.,FALSE
CoilSclavus,Bronze_Statues_Quest,,,Player has picked up a Sclavus coil and cannot pick up another for 1 day.,FALSE
CoilSclavusGiven,Bronze_Statues_Quest,,,Player has given this coil and cannot give another for one day.,FALSE
CoilSkeleton,Bronze_Statues_Quest,,,Player has picked up a Skeleton coil and cannot pick up another for 1 day.,FALSE
CoilSkeletonGiven,Bronze_Statues_Quest,,,Player has given this coil and cannot give another for one day.,FALSE
CoilThorsten,Bronze_Statues_Quest,,,Player has picked up a Thorsten coil and cannot pick up another for 1 day.,FALSE
CoilThorstenGiven,Bronze_Statues_Quest,,,Player has given this coil and cannot give another for one day.,FALSE
CoilZharalim,Bronze_Statues_Quest,,,Player has picked up a Zharalim coil and cannot pick up another for 1 day.,FALSE
CoilZharalimGiven,Bronze_Statues_Quest,,,Player has given this coil and cannot give another for one day.,FALSE
CoinAttachmentPickup,,,,You've picked up the Coin of Attachment,FALSE
ColierMineTreasureKey,Baron's_Amulet_of_Life_Giving_Quest,,,The Treasure Key for Colier Mine,FALSE
CollectorAlchemyAluLow,Crafter_Quest,,,You have turned in a Low alchemy arts&crafts item.,FALSE
CollectorAlchemyAluMid,Crafter_Quest,,,You have turned in a Mid alchemy arts&crafts item.,FALSE
CollectorAlchemyAluNewbie,Crafter_Quest,,,You have turned in a newbie alchemy arts&crafts item.,FALSE
CollectorAlchemyGhaLow,Crafter_Quest,,,You have turned in a Low alchemy arts&crafts item.,FALSE
CollectorAlchemyGhaMid,Crafter_Quest,,,You have turned in a Mid alchemy arts&crafts item.,FALSE
CollectorAlchemyGhaNewbie,Crafter_Quest,,,You have turned in a newbie alchemy arts&crafts item.,FALSE
CollectorAlchemyShoLow,Crafter_Quest,,,You have turned in a Low alchemy arts&crafts item.,FALSE
CollectorAlchemyShoMid,Crafter_Quest,,,You have turned in a Mid alchemy arts&crafts item.,FALSE
CollectorAlchemyShoNewbie,Crafter_Quest,,,You have turned in a newbie alchemy arts&crafts item.,FALSE
CollectorCookingAluLow,Crafter_Quest,,,You have turned in a Low cooking arts&crafts item.,FALSE
CollectorCookingAluMid,Crafter_Quest,,,You have turned in a Mid cooking arts&crafts item.,FALSE
CollectorCookingAluNewbie,Crafter_Quest,,,You have turned in a newbie cooking arts&crafts item.,FALSE
CollectorCookingGhaLow,Crafter_Quest,,,You have turned in a Low cooking arts&crafts item.,FALSE
CollectorCookingGhaMid,Crafter_Quest,,,You have turned in a Mid cooking arts&crafts item.,FALSE
CollectorCookingGhaNewbie,Crafter_Quest,,,You have turned in a newbie cooking arts&crafts item.,FALSE
CollectorCookingShoLow,Crafter_Quest,,,You have turned in a Low cooking arts&crafts item.,FALSE
CollectorCookingShoMid,Crafter_Quest,,,You have turned in a Mid cooking arts&crafts item.,FALSE
CollectorCookingShoNewbie,Crafter_Quest,,,You have turned in a newbie cooking arts&crafts item.,FALSE
CollectorFletchingAluLow,Crafter_Quest,,,You have turned in a Low fletching arts&crafts item.,FALSE
CollectorFletchingAluMid,Crafter_Quest,,,You have turned in a Mid fletching arts&crafts item.,FALSE
CollectorFletchingAluNewbie,Crafter_Quest,,,You have turned in a newbie fletching arts&crafts item.,FALSE
CollectorFletchingGhaLow,Crafter_Quest,,,You have turned in a Low fletching arts&crafts item.,FALSE
CollectorFletchingGhaMid,Crafter_Quest,,,You have turned in a Mid fletching arts&crafts item.,FALSE
CollectorFletchingGhaNewbie,Crafter_Quest,,,You have turned in a newbie fletching arts&crafts item.,FALSE
CollectorFletchingShoLow,Crafter_Quest,,,You have turned in a Low fletching arts&crafts item.,FALSE
CollectorFletchingShoMid,Crafter_Quest,,,You have turned in a Mid fletching arts&crafts item.,FALSE
CollectorFletchingShoNewbie,Crafter_Quest,,,You have turned in a newbie fletching arts&crafts item.,FALSE
ColoArenaOneAccess,Colosseum_Arena,,,Access to Colo Arena One,FALSE
ColoArenaTwoAccess,Colosseum_Arena,,,Access to Colo Arena Two,FALSE
ColoR10Completed,Advanced_Colosseum_Arena,,,Player Beat (and used exit portal) Colo Arena Room 10,FALSE
ColoR11Completed,Advanced_Colosseum_Arena,,,Player Beat (and used exit portal) Colo Arena Room 11,FALSE
ColoR12Completed,Advanced_Colosseum_Arena,,,Player Beat (and used exit portal) Colo Arena Room 12,FALSE
ColoR13Completed,Advanced_Colosseum_Arena,,,Player Beat (and used exit portal) Colo Arena Room 13,FALSE
ColoR14Completed,Advanced_Colosseum_Arena,,,Player Beat (and used exit portal) Colo Arena Room 14,FALSE
ColoR15Completed,Advanced_Colosseum_Arena,,,Player Beat (and used exit portal) Colo Arena Room 15,FALSE
ColoR16Completed,Advanced_Colosseum_Arena,,,Player Beat (and used exit portal) Colo Arena Room 16,FALSE
ColoR17Completed,Advanced_Colosseum_Arena,,,Player Beat (and used exit portal) Colo Arena Room 17,FALSE
ColoR18Completed,Advanced_Colosseum_Arena,,,Player Beat (and used exit portal) Colo Arena Room 18,FALSE
ColoR1Completed,Colosseum_Arena,,,Player Beat (and used exit portal) Colo Arena Room 1,FALSE
ColoR2Completed,Colosseum_Arena,,,Player Beat (and used exit portal) Colo Arena Room 2,FALSE
ColoR3Completed,Colosseum_Arena,,,Player Beat (and used exit portal) Colo Arena Room 3,FALSE
ColoR4Completed,Colosseum_Arena,,,Player Beat (and used exit portal) Colo Arena Room 4,FALSE
ColoR5Completed,Colosseum_Arena,,,Player Beat (and used exit portal) Colo Arena Room 5,FALSE
ColoR6Completed,Advanced_Colosseum_Arena,,,Player Beat (and used exit portal) Colo Arena Room 6,FALSE
ColoR7Completed,Advanced_Colosseum_Arena,,,Player Beat (and used exit portal) Colo Arena Room 7,FALSE
ColoR8Completed,Advanced_Colosseum_Arena,,,Player Beat (and used exit portal) Colo Arena Room 8,FALSE
ColoR9Completed,Advanced_Colosseum_Arena,,,Player Beat (and used exit portal) Colo Arena Room 9,FALSE
ColorPuzzleBallPickedUp,Clutch_of_Kings_(Kiree),,,You have picked up a colored ball.,FALSE
ColorPuzzleBlueRiddle,Clutch_of_Kings_(Kiree),,,You got a riddle from the clue card.,FALSE
ColorPuzzleCompleted,Clutch_of_Kings_(Kiree),,,You've compleated the Clutch of Kings color puzzle.,FALSE
CompletedColosseum,Advanced_Colosseum_Arena,,,Completed Colosseum,FALSE
CompletedTempleIxirZi,The_Temple_of_Ixir_Zi,,,Player has defeated the Temple of Ixir Zi.,FALSE
CompletedTempleLiazk,The_Temple_of_Liazk_Itzi,,,Player has received a reward for Liazk Itzi's temple.,FALSE
Completed_GWI100_1205,Glenden_Wood_Invasion_(Mid),,,Completed Glenden Wood Invasion Mid quest,FALSE
Completed_GWI130_1205,Glenden_Wood_Invasion_(High),,,Completed Glenden Wood Invasion High quest,FALSE
Completed_GWI80_1205,Glenden_Wood_Invasion_(Low),,,Completed Glenden Wood Invasion Low quest,FALSE
ContractQuestcounter_0511,Broker_Contracts,,,Complete contracts from the Contract Brokers for extra rewards,FALSE
ContractQuestSolves,Broker_Contracts,,,QuestBits to Tracker Which Level of Broker Contract Quests have been solved,FALSE
coppercogtrooperkillcount,Copper_Cog_Trooper_Kill_Task,,,kill count,FALSE
CopperCogTrooperKillTask,Copper_Cog_Trooper_Kill_Task,,,kill task timer,FALSE
CopperInvaderLordHelm,Defense_of_Zaikhal_(Copper),,,Timer for Copper Lord Helm,FALSE
copperknightmedallion,Defense_of_Zaikhal_(Copper),,,Defense of Zaikhal Medallion Pickup Timer Copper,FALSE
copperlegiondoorkey,Defense_of_Zaikhal_(Copper),,,Pick Up Key for Door to Copper Legion,FALSE
coralgolemkillcount,Coral_Golem_Kill_Task,,,Coral Golem Hunting: Coral Shield,FALSE
CoralTowerBlackDead,Coral_Tower_Destroyer,,,CoralTowerBlackDead,FALSE
CoralTowerBlueDead,Coral_Tower_Destroyer,,,CoralTowerBlueDead,FALSE
CoralTowerGreenDead,Coral_Tower_Destroyer,,,CoralTowerGreenDead,FALSE
CoralTowerRedDead,Coral_Tower_Destroyer,,,CoralTowerRedDead,FALSE
CoralTowerWhiteDead,Coral_Tower_Destroyer,,,CoralTowerWhiteDead,FALSE
corettoTestament,Knights_of_Karlun_Quest,,,Pickup timer on Coretto Testament (Knights of Karlun),FALSE
CorruptedEssenceCount,Relic_Armor,,,Corrupted Essence Counter,FALSE
CorruptedEssenceTurnInTimer,Relic_Armor,,,Corrupted Essence Day Timer,FALSE
CountDardantesNotesPickupTimer,Necklace_of_the_Elemental_Adepts_Quest,,,Count Dardante's Notes pickup timer,FALSE
CoveOswaldTaken,Oswald's_Dirk_Quest,,,Took the poisoned cider,FALSE
CowTipCounter,Cow_Tipping,,,Counter for how many cows Player has tipped,FALSE
CowTipWait,Cow_Tipping,,,Cow Tipping Quest cooldown timer,FALSE
CrafterShardPickup,Simulacra_Infiltrators,,,Asteliary Crafter's Message Shard pickup timer,FALSE
CrestLugian,"Arm,_Mind,_Heart_Quest",,,Lugian Commander Trophy,FALSE
CrimsonBrokenHaft,Silifi_of_Crimson_Stars_Quest,,,Crimson Broken Haft,FALSE
CrimsonBrokenHaft2,Silifi_of_Crimson_Stars_Quest,,,Crimson Broken Haft 2,FALSE
CrimsonRuby1,Silifi_of_Crimson_Stars_Quest,,,Crimson Ruby 1,FALSE
CrimsonRuby2,Silifi_of_Crimson_Stars_Quest,,,Crimson Ruby 2,FALSE
CrimsonRuby3,Silifi_of_Crimson_Stars_Quest,,,Crimson Ruby 3,FALSE
CrimsonRuby4,Silifi_of_Crimson_Stars_Quest,,,Crimson Ruby 4,FALSE
CrimsonRuby5,Silifi_of_Crimson_Stars_Quest,,,Crimson Ruby 5,FALSE
CryptCrimsonNightFlagged,Silifi_of_Crimson_Night_Quest,,,Flagged to enter Crypt of Crimson Night,FALSE
CrystalFinalPickup0509,Crystalline_Markers,,,Picked up Crystalline Array Fragment,FALSE
crystallineboundwisp,Crystalline_Bound_Wisp,,,Player has reached the Bound Wisp,FALSE
CrystallineMarker10x,Crystalline_Markers,,,Found 10 Crystalline Markers,FALSE
CrystallineMarker15x,Crystalline_Markers,,,Found 15 Crystalline Markers,FALSE
CrystallineMarker20x,Crystalline_Markers,,,Found 20 Crystalline Markers,FALSE
CrystallineMarker25x,Crystalline_Markers,,,Found 25 Crystalline Markers,FALSE
CrystallineMarker5x,Crystalline_Markers,,,Found 5 Crystalline Markers,FALSE
CrystallineMarkerCounter0109,Crystalline_Markers,,,Crystalline Markers Counter,FALSE
CrystallineMarkersFound,Crystalline_Markers,,,Crystalline Markers Found by Player,FALSE
CrystallineMarkerStart,Crystalline_Markers,,,Started Crystalline Markers Quest,FALSE
crystallineshardturnin,Crystalline_Adventurer,,,Turned in Crystalline Shard,FALSE
crystallineshardturninwait,Crystalline_Adventurer,,,Turned in Crystalline Shard Wait timer,FALSE
crystalofthedarkislecrystalshardpickuptimer,Raising_Grael's_Island,,,Picked up Crystal Shard,FALSE
DainDead,Search_for_Gareth_Dain,,,Lady Dain knows Gareth Dain is alive.,FALSE
damagedshadowstone,Repaired_Shadow_Stone_Quest,,,Damaged Shadow Stone pickup timer,FALSE
DameNoir1,Noir_Assassination_Investigation,,,You've spoken to the dame responsible for the noir quest.,FALSE
DanbyMoarsmenComplete_0508,Moarsmen_on_the_Shores_(Danby's_Outpost),,,Player has completed the Danbys Outpost portion of Moarsmen on the Shores,FALSE
DarkIdolsCompleted,Fetish_of_the_Dark_Idols_Quest,,,You've completed the Dark Idols quest.,FALSE
DarkIsleFlagged,Dark_Isle_Flagging,,,Flagged to use Dark Isle portal,FALSE
DarkSpiralBookPickup,The_Dark_Spiral_Quest,,,Dark Spiral Book Pick Up timer,FALSE
DazzlingShardGiven,Gateway_to_the_Deep,,,Dazzling Shard given to Dmesne,FALSE
DeathAllureCD,Death's_Allure,,,Death's Allure Timer Flag,FALSE
DeathAllureStarted,Death's_Allure,,,Death Allure quest started.,FALSE
DeathTailFangPickupTimer,DeathTail_Quest,,,Picked up DeathTail Fang,FALSE
DeconstructionStarted_0213,Save_Karul,,,quest timer,FALSE
DeepPlaces1,Olthoi_Chasm_Quest,,,You've picked up the first note in Olthoi Tunnels.,FALSE
DeepPlaces2,Olthoi_Chasm_Quest,,,You've picked up the second note in Olthoi Tunnels.,FALSE
DeepPlaces3,Olthoi_Chasm_Quest,,,You've picked up the third note in Olthoi Tunnels.,FALSE
DeepPlaces4,Olthoi_Chasm_Quest,,,You've picked up the fourth note in Olthoi Tunnels.,FALSE
DeepPlaces5,Olthoi_Chasm_Quest,,,You've picked up the fifth note in Olthoi Tunnels.,FALSE
DefeatedBonecrunch,Aerbax's_Prodigal_Drudge,,,Player has defeated Bonecrunch,FALSE
DefeatedKixktiXri,The_Temple_of_Ixir_Zi,,,Player has assisted in killing Kixkti Xri.,FALSE
DefeatedProdigalDrudgeWait,Aerbax's_Prodigal_Drudge,,,Bonecrunch Wait Timer,FALSE
DefeatHoshinoKeiStarted_0113,Defeat_Hoshino_Kei,,,quest timer,FALSE
defenseofzaikhalplatinumshard,Defense_of_Zaikhal_(Platinum),,,Shard of Corcima Pickup Timer - Defense of Zaikhal Platinum,FALSE
defenseofzaikhalroyalblood,Defense_of_Zaikhal_(Platinum),,,Royal Blood Pickup Timer - Defense of Zaikhal Platinum,FALSE
DELIVEREDCHRYSOBERYL,Gift_Box_Quest,,,Delivered Chryoberyl,FALSE
DeliveredCureBobo_0807,Bobo's_Medicine,,,Delivered Cure for Bobo,FALSE
DELIVEREDIOLITEGEM,Gift_Box_Quest,,,Delivered the Iolite gem.,FALSE
DepletedAetheriumOreCollection,Inner_Sea_Aetherium_Collection,,,Turned in 10 Depleted Aetherium Ore in Inner Sea Invasion,FALSE
DericostRuinPickup,Dericost_Ruin_Quest,,,Dericost Tome Pickup Timer Dericost Ruins Quest,FALSE
DesertAreaCollectionBracersStart_0511,A'nekshay_Bracer_Collecting,,,A'nekshay Bracer,FALSE
DesertAreaCollectionPayoteStart_0511,Prickly_Pear_Collecting,,,Prickly Pears,FALSE
DesertAreaCollectionTabletStart_0511,Stone_Tablet_Collecting,,,A'nekshay Bracer,FALSE
desertcactuskillcount,Desert_Cactus_Kill_Task,,,Desert Area Cactus Kill Counter,FALSE
DesertCactusKillTask,Desert_Cactus_Kill_Task,,,Desert Area Cactus Kill Task,FALSE
DesolationSeaInvasionKey_Pickup,Moarsmen_on_the_Shores_(Ayan_Baqur),,,Pickup timer for Desolation Sea Invasion Key,FALSE
DevastatedWatcherFlagged,Gateway_to_the_Deep,,,Flagged to use Devastated Watcher,FALSE
DevastatedWatcherTokenGiven,Gateway_to_the_Deep,,,Token given to Devastated Watcher,FALSE
DireChampBanderling,Dire_Champions,,,Player has killed Dire Champion Banderling.,FALSE
DireChampDailyTokenCounter,Dire_Champions,,,"Player counter for 100 tokens turned in to Aun Javhalrea, the Game Warden to start wait.",FALSE
DireChampDrudge,Dire_Champions,,,Player has killed Dire Champion Drudge.,FALSE
DireChampGolem,Dire_Champions,,,Player has killed Dire Champion Golem.,FALSE
DireChampLugian,Dire_Champions,,,Player has killed Dire Champion Lugian.,FALSE
DireChampMonouga,Dire_Champions,,,Player has killed Dire Champion Monouga.,FALSE
DireChampShadow,Dire_Champions,,,Player has killed Dire Champion Shadow.,FALSE
DireChampStart,Dire_Champions,,,"Player has spoke to Aun Javhalrea, the Game Warden.",FALSE
DireChampTokenCounter,Dire_Champions,,,"Player counter on tokens turned in to Aun Javhalrea, the Game Warden.",FALSE
DireChampToken_First,Dire_Champions,,,Player has turned in their first Token.,FALSE
DireChampVirindi,Dire_Champions,,,Player has killed Dire Champion Virindi.,FALSE
DirelandsMineCommandersGemGiven,Necklace_of_the_Elemental_Adepts_Quest,,,Given the Direlands Mine Commander's Gem to Qumasha,FALSE
DirelandsMineCommandersGemPickupTimer,Necklace_of_the_Elemental_Adepts_Quest,,,Direlands Mine Commander's Gem pickup timer,FALSE
diremattekarkillcount,Dire_Mattekar_Kill_Task,,,Dire Mattekar Kill Counter,FALSE
DireMonougaTitle,Dire_Champions,,,Player has received Dire Champion Monouga Title.,FALSE
DisgustingSeaInvasionKey_Pickup,Moarsmen_on_the_Shores_(Danby's_Outpost),,,Pickup timer for Disgusting Sea Invasion Key,FALSE
DistilleryAmbrosiaQuest,Lost_Distillery_Quest,,,Distillery Ambrosia Quest,FALSE
distilleryambrosiaquest2,Lost_Distillery_Quest,,,Distillery Ambrosia Quest,FALSE
DistilleryDewQuest,Floating_City_Quest,,,Distillery Dew Quest,FALSE
DistilleryNectarQuest,Lost_Distillery_Quest,,,Distillery Nectar Quest,FALSE
DmesnePyrealBarGiven,Gateway_to_the_Deep,,,Pyreal Bar given to Dmesne,FALSE
